Campaign,Campaign Daily Budget,Campaign Type,Networks,Bid Strategy Type,Ad Group,Max CPC,Keyword,Match Type,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Description 1,Description 2,Description 3,Description 4,Path 1,Path 2,Final URL,Status
KLUSR | Search | Verf — Generiek,15.00,Search,Google search,Manual CPC,,,,,,,,,,,,,,,,,,,,,,Paused
KLUSR | Search | Merken,,,,,Flexa,,flexa muurverf,Exact,,,,,,,,,,,,,,,,,,Enabled
KLUSR | Search | Merken,,,,,Flexa,,flexa lak,Phrase,,,,,,,,,,,,,,,,,,Enabled
KLUSR | Search | Merken,,,,,Flexa,,flexa lak,Exact,,,,,,,,,,,,,,,,,,Enabled
KLUSR | Search | Merken,,,,,Flexa,,,,Flexa bij KLUSR,Flexa op Voorraad,Flexa in Elke Kleur,Verf Kopen bij KLUSR,"Voor 19u, Morgen in Huis",Verf op Kleur Gemengd,Advies van Ex-Schilders,"Gratis Retour, 30 Dagen",Profiteer van KLUSRPAS,Scherpe Verfprijzen,"Bestel verf online bij KLUSR. Voor 19:00 besteld, morgen in huis. Op kleur gemengd.","Advies van ex-schilders, scherpe prijzen en gratis retour binnen 30 dagen.",Kies uit topmerken en duizenden kleuren. Wij mengen je verf exact op jouw kleur.,Profiteer van KLUSRPAS-voordeel en betaal veilig achteraf. Bestel vandaag bij KLUSR.,Verf,Flexa,https://www.klusr.nl/categorie/verf,Enabled
KLUSR | Search | Merken,,,,,Wijzonol,0.60,,,,,,,,,,,,,,,,,,,,Enabled
KLUSR | Search | Merken,,,,,Wijzonol,,wijzonol,Phrase,,,,,,,,,,,,,,,,,,Enabled
KLUSR | Search | Merken,,,,,Wijzonol,,wijzonol,Exact,,,,,,,,,,,,,,,,,,Enabled
KLUSR | Search | Merken,,,,,Wijzonol,,wijzonol verf,Phrase,,,,,,,,,,,,,,,,,,Enabled
KLUSR | Search | Merken,,,,,Wijzonol,,wijzonol verf,Exact,,,,,,,,,,,,,,,,,,Enabled
KLUSR | Search | Merken,,,,,Wijzonol,,wijzonol lak,Phrase,,,,,,,,,,,,,,,,,,Enabled
KLUSR | Search | Merken,,,,,Wijzonol,,wijzonol lak,Exact,,,,,,,,,,,,,,,,,,Enabled
KLUSR | Search | Merken,,,,,Wijzonol,,wijzonol beits,Phrase,,,,,,,,,,,,,,,,,,Enabled
KLUSR | Search | Merken,,,,,Wijzonol,,wijzonol beits,Exact,,,,,,,,,,,,,,,,,,Enabled
KLUSR | Search | Merken,,,,,Wijzonol,,,,Wijzonol bij KLUSR,Wijzonol op Voorraad,"Lak, Beits en Muurverf",Verf Kopen bij KLUSR,"Voor 19u, Morgen in Huis",Verf op Kleur Gemengd,Advies van Ex-Schilders,"Gratis Retour, 30 Dagen",Profiteer van KLUSRPAS,Scherpe Verfprijzen,"Bestel verf online bij KLUSR. Voor 19:00 besteld, morgen in huis. Op kleur gemengd.","Advies van ex-schilders, scherpe prijzen en gratis retour binnen 30 dagen.",Kies uit topmerken en duizenden kleuren. Wij mengen je verf exact op jouw kleur.,Profiteer van KLUSRPAS-voordeel en betaal veilig achteraf. Bestel vandaag bij KLUSR.,Verf,Wijzonol,https://www.klusr.nl/categorie/verf,Enabled
KLUSR | Search | Kleurenkiezer & Mengverf,15.00,Search,Google search,Manual CPC,,,,,,,,,,,,,,,,,,,,,,Paused
KLUSR | Search | Kleurenkiezer & Mengverf,,,,,Verf op kleur mengen,0.60,,,,,,,,,,,,,,,,,,,,Enabled
KLUSR | Search | Kleurenkiezer & Mengverf,,,,,Verf op kleur mengen,,verf op kleur laten mengen,Phrase,,,,,,,,,,,,,,,,,,Enabled
KLUSR | Search | Kleurenkiezer & Mengverf,,,,,Verf op kleur mengen,,verf op kleur laten mengen,Exact,,,,,,,,,,,,,,,,,,Enabled
KLUSR | Search | Kleurenkiezer & Mengverf,,,,,Verf op kleur mengen,,verf laten mengen,Phrase,,,,,,,,,,,,,,,,,,Enabled
KLUSR | Search | Kleurenkiezer & Mengverf,,,,,Verf op kleur mengen,,verf laten mengen,Exact,,,,,,,,,,,,,,,,,,Enabled
KLUSR | Search | Kleurenkiezer & Mengverf,,,,,Verf op kleur mengen,,verf mengen op kleur,Phrase,,,,,,,,,,,,,,,,,,Enabled
KLUSR | Search | Kleurenkiezer & Mengverf,,,,,Verf op kleur mengen,,verf mengen op kleur,Exact,,,,,,,,,,,,,,,,,,Enabled
KLUSR | Search | Kleurenkiezer & Mengverf,,,,,Verf op kleur mengen,,mengverf,Phrase,,,,,,,,,,,,,,,,,,Enabled
KLUSR | Search | Kleurenkiezer & Mengverf,,,,,Verf op kleur mengen,,mengverf,Exact,,,,,,,,,,,,,,,,,,Enabled
KLUSR | Search | Kleurenkiezer & Mengverf,,,,,Verf op kleur mengen,,kleur verf mengen,Phrase,,,,,,,,,,,,,,,,,,Enabled
KLUSR | Search | Kleurenkiezer & Mengverf,,,,,Verf op kleur mengen,,kleur verf mengen,Exact,,,,,,,,,,,,,,,,,,Enabled
KLUSR | Search | Kleurenkiezer & Mengverf,,,,,Verf op kleur mengen,,,,Verf op Kleur Mengen,Elke Kleur Mogelijk,Exact op Jouw Kleur,Verf Kopen bij KLUSR,"Voor 19u, Morgen in Huis",Verf op Kleur Gemengd,Advies van Ex-Schilders,"Gratis Retour, 30 Dagen",Profiteer van KLUSRPAS,Scherpe Verfprijzen,"Bestel verf online bij KLUSR. Voor 19:00 besteld, morgen in huis. Op kleur gemengd.","Advies van ex-schilders, scherpe prijzen en gratis retour binnen 30 dagen.",Kies uit topmerken en duizenden kleuren. Wij mengen je verf exact op jouw kleur.,Profiteer van KLUSRPAS-voordeel en betaal veilig achteraf. Bestel vandaag bij KLUSR.,Kleurenkiezer,Op-Kleur,https://www.klusr.nl/kleurenkiezer,Enabled
KLUSR | Search | Kleurenkiezer & Mengverf,,,,,RAL kleuren,0.60,,,,,,,,,,,,,,,,,,,,Enabled
KLUSR | Search | Kleurenkiezer & Mengverf,,,,,RAL kleuren,,ral kleuren verf,Phrase,,,,,,,,,,,,,,,,,,Enabled
KLUSR | Search | Kleurenkiezer & Mengverf,,,,,RAL kleuren,,ral kleuren verf,Exact,,,,,,,,,,,,,,,,,,Enabled
KLUSR | Search | Kleurenkiezer & Mengverf,,,,,RAL kleuren,,ral verf,Phrase,,,,,,,,,,,,,,,,,,Enabled
KLUSR | Search | Kleurenkiezer & Mengverf,,,,,RAL kleuren,,ral verf,Exact,,,,,,,,,,,,,,,,,,Enabled
KLUSR | Search | Kleurenkiezer & Mengverf,,,,,RAL kleuren,,verf in ral kleur,Phrase,,,,,,,,,,,,,,,,,,Enabled
KLUSR | Search | Kleurenkiezer & Mengverf,,,,,RAL kleuren,,verf in ral kleur,Exact,,,,,,,,,,,,,,,,,,Enabled
KLUSR | Search | Kleurenkiezer & Mengverf,,,,,RAL kleuren,,ral kleur muurverf,Phrase,,,,,,,,,,,,,,,,,,Enabled
KLUSR | Search | Kleurenkiezer & Mengverf,,,,,RAL kleuren,,ral kleur muurverf,Exact,,,,,,,,,,,,,,,,,,Enabled
KLUSR | Search | Kleurenkiezer & Mengverf,,,,,RAL kleuren,,,,Verf in RAL-Kleur,Alle RAL-Kleuren,RAL op Maat Gemengd,Verf Kopen bij KLUSR,"Voor 19u, Morgen in Huis",Verf op Kleur Gemengd,Advies van Ex-Schilders,"Gratis Retour, 30 Dagen",Profiteer van KLUSRPAS,Scherpe Verfprijzen,"Bestel verf online bij KLUSR. Voor 19:00 besteld, morgen in huis. Op kleur gemengd.","Advies van ex-schilders, scherpe prijzen en gratis retour binnen 30 dagen.",Kies uit topmerken en duizenden kleuren. Wij mengen je verf exact op jouw kleur.,Profiteer van KLUSRPAS-voordeel en betaal veilig achteraf. Bestel vandaag bij KLUSR.,Kleurenkiezer,RAL,https://www.klusr.nl/kleurenkiezer,Enabled
